score,name,type,price,num_reviews
96,irish_breakfast,black,10,3675
95,earl_grey_bravo,black,10,3520
95,golden_monkey,black,27,1125
96,black_dragon_pearls,black,32,1748
95,yunnan_noir,black,17,988
95,earl_grey_moonlight,black,10,2510
93,english_breakfast,black,17,1008
92,keemun_concerto,black,17,499
95,yunnan_gold,black,40,1094
94,ceylon_sonata,black,12,1525
94,earl_grey_lavender,black,10,1638
95,yunnan_jig,black,17,923
93,assam_harmony,black,27,492
90,lapsang_souchong,black,12,1160
94,assam_melody,black,12,1029
94,darjeeling_no2,black,34,497
94,darjeeling_no22,black,17,852
94,fujian_baroque,black,12,566
93,keemun_encore,black,47,150
94,golden_spring,black,32,331
91,rwanda_rukeri,black,8,317
92,darjeeling_spring,black,25,144
93,mambo,black,20,419
92,ceylon_waltz,black,15,194
96,earl_grey_bella_luna,black,19,166
92,red_bloom,black,100,176
92,keemun_rhapsody,black,32,124
94,pu_erh_hazelberry,pu_erh,15,830
89,pu_erh_poe,pu_erh,37,364
94,pu_erh_pearls,pu_erh,30,210
89,pu_erh_dante,pu_erh,17,642
93,pu_erh_chorange,pu_erh,15,569
92,pu_erh_spice,pu_erh,15,391
90,pu_erh_tahiti,pu_erh,15,308
90,pumpkin_spice,flavors,10,1056
94,apricot,flavors,10,644
93,cream,flavors,10,2069
93,vanilla,flavors,10,1452
94,mango,flavors,10,1040
93,coconut,flavors,10,1438
95,chestnut,flavors,10,922
92,cinnamon,flavors,10,823
93,raspberry,flavors,10,844
93,strawberry,flavors,10,950
92,caramel,flavors,10,1259
94,candy_cane,flavors,10,871
94,hazelnut,flavors,10,971
95,peach,flavors,10,976
91,ginger_peach,flavors,10,768
92,almond,flavors,10,888
92,passionfruit,flavors,10,653
94,summer_rose,flavors,10,881
91,orange,flavors,10,490
89,candy_apple,flavors,10,575
90,chocolate,flavors,10,898
93,tiger_eye,flavors,10,898
92,forest_berries,flavors,10,634
92,christmas,flavors,10,1502
92,oriental_spice,flavors,10,1118
93,blueberry,flavors,10,886
89,ginger,flavors,10,626
91,currant,flavors,10,461
93,valentines,flavors,10,2073
92,blackberry,flavors,10,754
88,cherry,flavors,10,523
91,hibiscus,flavors,10,532
90,gingerbread,flavors,10,630
91,lemon_soleil,flavors,10,677
90,pomegranate,flavors,10,409
91,cranberry,flavors,10,320
92,chocolate_chip,flavors,10,964
92,grapefruit,flavors,10,377
95,masala_chai,chai,12,2425
95,rooibos_vanilla_chai,chai,12,1560
92,honeybush_pumpkin_chai,chai,12,278
92,chocolate_chai,chai,12,1372
93,spiced_apple_chai,chai,12,1494
94,thai_chai,chai,12,1551
93,green_chai,chai,12,498
94,gaucho_mate_chai,chai,12,25
92,white_chai,chai,12,422
95,peach_oolong,oolong,15,1356
94,jade_oolong,oolong,20,745
94,ti_kuan_yin,oolong,32,505
95,ali_shan,oolong,47,371
92,almond_oolong,oolong,15,1419
92,milk_oolong,oolong,50,116
94,ooooh_darjeeling,oolong,39,684
94,vanilla_oolong,oolong,15,870
93,coconut_pouchong,oolong,29,519
94,fujian_rain,oolong,19,395
94,formosa_fancy,oolong,45,508
93,grapefruit_oolong,oolong,15,550
93,pouchong,oolong,34,489
94,dancong_aria,oolong,34,328
93,wuyi_ensemble,oolong,39,467
92,formosa,oolong,15,851
95,silver_needle,white,64,963
96,jasmine_silver_needle,white,49,678
94,white_symphony,white,32,577
95,white_peach,white,19,1669
94,white_strawberry,white,19,488
93,white_peony,white,25,1113
94,white_blueberry,white,19,1353
92,white_eternal_spring,white,19,340
91,white_pear,white,19,814
94,white_darjeeling,white,46,107
93,white_fuzzy_navel,white,19,17
92,white_grapefruit,white,19,379
92,white_pearls,white,20,49
90,white_tropics,white,19,620
90,white_tangerine,white,19,495
93,snowbud,white,32,575
88,white_cucumber,white,19,521
96,dragon_pearl,green,32,1801
94,gunpowder,green,10,1745
94,genmai_cha,green,15,1317
93,dragonwell,green,37,770
94,jasmine_yin_hao,green,17,1042
93,sencha_premier,green,25,332
95,citron_green,green,12,1693
93,gyokuro,green,40,470
92,sleeping_dragon,green,12,816
94,mango_green,green,12,713
94,apricot_green,green,12,1244
95,casablanca_twist,green,19,1441
93,kukicha,green,17,569
91,pomegranate_green,green,12,630
93,sencha,green,20,470
93,vanilla_green,green,12,879
92,cocomint_green,green,12,1052
89,cherry_green,green,12,638
93,jasmine,green,12,768
93,raspberry_green,green,12,549
93,white_monkey,green,24,986
91,ginseng_green,green,12,598
92,green_pekoe,green,19,372
93,earl_grey_green,green,12,668
91,mandarin_green,green,12,574
94,calypso_green,green,12,370
95,hunan_gold,green,32,182
93,jade_snail,green,22,158
93,green_dragon_pearls,green,22,205
92,hojicha,green,14,681
94,anhui_emerald_seed,green,44,182
92,pi_lo_chun,green,30,387
92,green_assam,green,17,11
89,silver_sprout,green,10,182
93,spiced_green,green,12,544
93,lemon_meringue_green,green,12,67
91,artichoke_green,green,12,260
99,autumn_mist_green,green,12,28
94,matcha,matcha,60,543
93,matcha_raspberry,matcha,60,17
92,matcha_peach,matcha,60,37
91,matcha_chocolate,matcha,60,21
84,matcha_cinnamon_apple,matcha,60,7
92,matcha_mocha,matcha,60,21
91,bonfire,herbal,10,48
94,blood_orange,herbal,12,2436
97,peppermint,herbal,12,2354
96,chamomile,herbal,12,2416
96,foxtrot,herbal,14,2028
94,berry_blast,herbal,12,971
95,cha_cha,herbal,14,1091
94,raspberry_patch,herbal,12,926
94,wild_strawberry,herbal,12,1556
93,fruit_medley,herbal,12,1010
91,dewy_cherry,herbal,12,821
96,spearmint,herbal,12,1347
93,lemon_grass,herbal,12,1121
94,berry_blues,herbal,12,810
91,yerba_mate,herbal,10,384
92,mocha_nut_mate,herbal,10,781
91,mango_melange,herbal,12,519
92,sour_apple,herbal,12,680
92,watermelon_cooler,herbal,12,458
90,pina_colada,herbal,12,988
93,citrus_mate,herbal,10,277
96,key_lime_herbal,herbal,12,43
91,spiced_mate,herbal,10,249
91,toasted_mate,herbal,10,292
91,mango_mate,herbal,10,171
95,berry_creme_compote,herbal,12,44
94,rooibos_vanilla,rooibos,10,1566
93,rooibos,rooibos,10,795
93,honeybush_hazelnut,rooibos,15,725
96,green_rooibos_bonita,rooibos,12,656
92,rooibos_cinnamon_apple,rooibos,10,799
93,honeybush_vanilla,rooibos,15,588
95,green_rooibos_blueberry,rooibos,12,417
92,rooibos_earl_grey,rooibos,10,427
92,rooibos_caramel,rooibos,10,826
92,honeybush,rooibos,15,442
93,rooibos_peach,rooibos,10,438
91,honeybush_chocolate,rooibos,15,463
94,honeybush_mango,rooibos,15,291
90,rooibos_jasmine,rooibos,10,525
92,rooibos_almond,rooibos,10,526
92,rooibos_cocomint,rooibos,10,534
93,honeybush_apricot,rooibos,15,311
94,green_rooibos_key_west,rooibos,12,361
90,rooibos_mango,rooibos,10,410
92,rooibos_lemon_cloud,rooibos,10,539
91,rooibos_orange,rooibos,10,355
95,green_rooibos_citron,rooibos,12,310
93,green_rooibos,rooibos,12,219
93,honeybush_orange,rooibos,15,208
88,rooibos_tropics,rooibos,10,240
87,rooibos_berry,rooibos,10,254
94,decaf_earl_grey,decaf,15,659
94,decaf_vanilla,decaf,15,506
93,decaf_ceylon,decaf,15,429
95,decaf_peach,decaf,15,346
94,decaf_chai,decaf,15,101
95,decaf_apricot,decaf,15,234
91,decaf_spice,decaf,15,320
94,decaf_strawberry,decaf,15,283
92,decaf_orange,decaf,15,166
94,decaf_mango,decaf,15,257
92,decaf_blueberry,decaf,15,211
94,decaf_raspberry,decaf,15,283
89,decaf_tropics,decaf,15,139
97,fujian_ti_kuan_yin,masters,96,159
97,fujian_jasmine_pearl,masters,62,287
96,formosa_ali_shan,masters,74,137
96,yunnan_golden_curls,masters,73,284
96,uji_matcha,masters,156,43
97,formosa_pouchong,masters,91,196
95,wuyi_da_hong_pao,masters,142,92
94,hsinchu_oriental_beauty,masters,196,68
91,darjeeling_spring_tip,masters,157,40
91,yunnan_golden_pu_erh,masters,157,112
93,anhui_keemun,masters,86,78
95,shizuoka_shincha,masters,94,50
90,zhejiang_lung_ching,masters,157,45
96,fujian_silver_needle,masters,157,69
95,yunnan_pu_erh_white,masters,157,58
