cty,displ,cyl,drv,hwy,class,manufacturer,year
18,1.8,4,f,29,compact,audi,1999
21,1.8,4,f,29,compact,audi,1999
20,2,4,f,31,compact,audi,2008
21,2,4,f,30,compact,audi,2008
16,2.8,6,f,26,compact,audi,1999
18,2.8,6,f,26,compact,audi,1999
18,3.1,6,f,27,compact,audi,2008
18,1.8,4,4,26,compact,audi,1999
16,1.8,4,4,25,compact,audi,1999
20,2,4,4,28,compact,audi,2008
19,2,4,4,27,compact,audi,2008
15,2.8,6,4,25,compact,audi,1999
17,2.8,6,4,25,compact,audi,1999
17,3.1,6,4,25,compact,audi,2008
15,3.1,6,4,25,compact,audi,2008
15,2.8,6,4,24,midsize,audi,1999
17,3.1,6,4,25,midsize,audi,2008
16,4.2,8,4,23,midsize,audi,2008
14,5.3,8,r,20,suv,chevrolet,2008
11,5.3,8,r,15,suv,chevrolet,2008
14,5.3,8,r,20,suv,chevrolet,2008
13,5.7,8,r,17,suv,chevrolet,1999
12,6,8,r,17,suv,chevrolet,2008
16,5.7,8,r,26,2seater,chevrolet,1999
15,5.7,8,r,23,2seater,chevrolet,1999
16,6.2,8,r,26,2seater,chevrolet,2008
15,6.2,8,r,25,2seater,chevrolet,2008
15,7,8,r,24,2seater,chevrolet,2008
14,5.3,8,4,19,suv,chevrolet,2008
11,5.3,8,4,14,suv,chevrolet,2008
11,5.7,8,4,15,suv,chevrolet,1999
14,6.5,8,4,17,suv,chevrolet,1999
19,2.4,4,f,27,midsize,chevrolet,1999
22,2.4,4,f,30,midsize,chevrolet,2008
18,3.1,6,f,26,midsize,chevrolet,1999
18,3.5,6,f,29,midsize,chevrolet,2008
17,3.6,6,f,26,midsize,chevrolet,2008
18,2.4,4,f,24,minivan,dodge,1999
17,3,6,f,24,minivan,dodge,1999
16,3.3,6,f,22,minivan,dodge,1999
16,3.3,6,f,22,minivan,dodge,1999
17,3.3,6,f,24,minivan,dodge,2008
17,3.3,6,f,24,minivan,dodge,2008
11,3.3,6,f,17,minivan,dodge,2008
15,3.8,6,f,22,minivan,dodge,1999
15,3.8,6,f,21,minivan,dodge,1999
16,3.8,6,f,23,minivan,dodge,2008
16,4,6,f,23,minivan,dodge,2008
15,3.7,6,4,19,pickup,dodge,2008
14,3.7,6,4,18,pickup,dodge,2008
13,3.9,6,4,17,pickup,dodge,1999
14,3.9,6,4,17,pickup,dodge,1999
14,4.7,8,4,19,pickup,dodge,2008
14,4.7,8,4,19,pickup,dodge,2008
9,4.7,8,4,12,pickup,dodge,2008
11,5.2,8,4,17,pickup,dodge,1999
11,5.2,8,4,15,pickup,dodge,1999
13,3.9,6,4,17,suv,dodge,1999
13,4.7,8,4,17,suv,dodge,2008
9,4.7,8,4,12,suv,dodge,2008
13,4.7,8,4,17,suv,dodge,2008
11,5.2,8,4,16,suv,dodge,1999
13,5.7,8,4,18,suv,dodge,2008
11,5.9,8,4,15,suv,dodge,1999
12,4.7,8,4,16,pickup,dodge,2008
9,4.7,8,4,12,pickup,dodge,2008
13,4.7,8,4,17,pickup,dodge,2008
13,4.7,8,4,17,pickup,dodge,2008
12,4.7,8,4,16,pickup,dodge,2008
9,4.7,8,4,12,pickup,dodge,2008
11,5.2,8,4,15,pickup,dodge,1999
11,5.2,8,4,16,pickup,dodge,1999
13,5.7,8,4,17,pickup,dodge,2008
11,5.9,8,4,15,pickup,dodge,1999
11,4.6,8,r,17,suv,ford,1999
11,5.4,8,r,17,suv,ford,1999
12,5.4,8,r,18,suv,ford,2008
14,4,6,4,17,suv,ford,1999
15,4,6,4,19,suv,ford,1999
14,4,6,4,17,suv,ford,1999
13,4,6,4,19,suv,ford,2008
13,4.6,8,4,19,suv,ford,2008
13,5,8,4,17,suv,ford,1999
14,4.2,6,4,17,pickup,ford,1999
14,4.2,6,4,17,pickup,ford,1999
13,4.6,8,4,16,pickup,ford,1999
13,4.6,8,4,16,pickup,ford,1999
13,4.6,8,4,17,pickup,ford,2008
11,5.4,8,4,15,pickup,ford,1999
13,5.4,8,4,17,pickup,ford,2008
18,3.8,6,r,26,subcompact,ford,1999
18,3.8,6,r,25,subcompact,ford,1999
17,4,6,r,26,subcompact,ford,2008
16,4,6,r,24,subcompact,ford,2008
15,4.6,8,r,21,subcompact,ford,1999
15,4.6,8,r,22,subcompact,ford,1999
15,4.6,8,r,23,subcompact,ford,2008
15,4.6,8,r,22,subcompact,ford,2008
14,5.4,8,r,20,subcompact,ford,2008
28,1.6,4,f,33,subcompact,honda,1999
24,1.6,4,f,32,subcompact,honda,1999
25,1.6,4,f,32,subcompact,honda,1999
23,1.6,4,f,29,subcompact,honda,1999
24,1.6,4,f,32,subcompact,honda,1999
26,1.8,4,f,34,subcompact,honda,2008
25,1.8,4,f,36,subcompact,honda,2008
24,1.8,4,f,36,subcompact,honda,2008
21,2,4,f,29,subcompact,honda,2008
18,2.4,4,f,26,midsize,hyundai,1999
18,2.4,4,f,27,midsize,hyundai,1999
21,2.4,4,f,30,midsize,hyundai,2008
21,2.4,4,f,31,midsize,hyundai,2008
18,2.5,6,f,26,midsize,hyundai,1999
18,2.5,6,f,26,midsize,hyundai,1999
19,3.3,6,f,28,midsize,hyundai,2008
19,2,4,f,26,subcompact,hyundai,1999
19,2,4,f,29,subcompact,hyundai,1999
20,2,4,f,28,subcompact,hyundai,2008
20,2,4,f,27,subcompact,hyundai,2008
17,2.7,6,f,24,subcompact,hyundai,2008
16,2.7,6,f,24,subcompact,hyundai,2008
17,2.7,6,f,24,subcompact,hyundai,2008
17,3,6,4,22,suv,jeep,2008
15,3.7,6,4,19,suv,jeep,2008
15,4,6,4,20,suv,jeep,1999
14,4.7,8,4,17,suv,jeep,1999
9,4.7,8,4,12,suv,jeep,2008
14,4.7,8,4,19,suv,jeep,2008
13,5.7,8,4,18,suv,jeep,2008
11,6.1,8,4,14,suv,jeep,2008
11,4,8,4,15,suv,land rover,1999
12,4.2,8,4,18,suv,land rover,2008
12,4.4,8,4,18,suv,land rover,2008
11,4.6,8,4,15,suv,land rover,1999
11,5.4,8,r,17,suv,lincoln,1999
11,5.4,8,r,16,suv,lincoln,1999
12,5.4,8,r,18,suv,lincoln,2008
14,4,6,4,17,suv,mercury,1999
13,4,6,4,19,suv,mercury,2008
13,4.6,8,4,19,suv,mercury,2008
13,5,8,4,17,suv,mercury,1999
21,2.4,4,f,29,compact,nissan,1999
19,2.4,4,f,27,compact,nissan,1999
23,2.5,4,f,31,midsize,nissan,2008
23,2.5,4,f,32,midsize,nissan,2008
19,3.5,6,f,27,midsize,nissan,2008
19,3.5,6,f,26,midsize,nissan,2008
18,3,6,f,26,midsize,nissan,1999
19,3,6,f,25,midsize,nissan,1999
19,3.5,6,f,25,midsize,nissan,2008
14,3.3,6,4,17,suv,nissan,1999
15,3.3,6,4,17,suv,nissan,1999
14,4,6,4,20,suv,nissan,2008
12,5.6,8,4,18,suv,nissan,2008
18,3.1,6,f,26,midsize,pontiac,1999
16,3.8,6,f,26,midsize,pontiac,1999
17,3.8,6,f,27,midsize,pontiac,1999
18,3.8,6,f,28,midsize,pontiac,2008
16,5.3,8,f,25,midsize,pontiac,2008
18,2.5,4,4,25,suv,subaru,1999
18,2.5,4,4,24,suv,subaru,1999
20,2.5,4,4,27,suv,subaru,2008
19,2.5,4,4,25,suv,subaru,2008
20,2.5,4,4,26,suv,subaru,2008
18,2.5,4,4,23,suv,subaru,2008
21,2.2,4,4,26,subcompact,subaru,1999
19,2.2,4,4,26,subcompact,subaru,1999
19,2.5,4,4,26,subcompact,subaru,1999
19,2.5,4,4,26,subcompact,subaru,1999
20,2.5,4,4,25,compact,subaru,2008
20,2.5,4,4,27,compact,subaru,2008
19,2.5,4,4,25,compact,subaru,2008
20,2.5,4,4,27,compact,subaru,2008
15,2.7,4,4,20,suv,toyota,1999
16,2.7,4,4,20,suv,toyota,1999
15,3.4,6,4,19,suv,toyota,1999
15,3.4,6,4,17,suv,toyota,1999
16,4,6,4,20,suv,toyota,2008
14,4.7,8,4,17,suv,toyota,2008
21,2.2,4,f,29,midsize,toyota,1999
21,2.2,4,f,27,midsize,toyota,1999
21,2.4,4,f,31,midsize,toyota,2008
21,2.4,4,f,31,midsize,toyota,2008
18,3,6,f,26,midsize,toyota,1999
18,3,6,f,26,midsize,toyota,1999
19,3.5,6,f,28,midsize,toyota,2008
21,2.2,4,f,27,compact,toyota,1999
21,2.2,4,f,29,compact,toyota,1999
21,2.4,4,f,31,compact,toyota,2008
22,2.4,4,f,31,compact,toyota,2008
18,3,6,f,26,compact,toyota,1999
18,3,6,f,26,compact,toyota,1999
18,3.3,6,f,27,compact,toyota,2008
24,1.8,4,f,30,compact,toyota,1999
24,1.8,4,f,33,compact,toyota,1999
26,1.8,4,f,35,compact,toyota,1999
28,1.8,4,f,37,compact,toyota,2008
26,1.8,4,f,35,compact,toyota,2008
11,4.7,8,4,15,suv,toyota,1999
13,5.7,8,4,18,suv,toyota,2008
15,2.7,4,4,20,pickup,toyota,1999
16,2.7,4,4,20,pickup,toyota,1999
17,2.7,4,4,22,pickup,toyota,2008
15,3.4,6,4,17,pickup,toyota,1999
15,3.4,6,4,19,pickup,toyota,1999
15,4,6,4,18,pickup,toyota,2008
16,4,6,4,20,pickup,toyota,2008
21,2,4,f,29,compact,volkswagen,1999
19,2,4,f,26,compact,volkswagen,1999
21,2,4,f,29,compact,volkswagen,2008
22,2,4,f,29,compact,volkswagen,2008
17,2.8,6,f,24,compact,volkswagen,1999
33,1.9,4,f,44,compact,volkswagen,1999
21,2,4,f,29,compact,volkswagen,1999
19,2,4,f,26,compact,volkswagen,1999
22,2,4,f,29,compact,volkswagen,2008
21,2,4,f,29,compact,volkswagen,2008
21,2.5,5,f,29,compact,volkswagen,2008
21,2.5,5,f,29,compact,volkswagen,2008
16,2.8,6,f,23,compact,volkswagen,1999
17,2.8,6,f,24,compact,volkswagen,1999
35,1.9,4,f,44,subcompact,volkswagen,1999
29,1.9,4,f,41,subcompact,volkswagen,1999
21,2,4,f,29,subcompact,volkswagen,1999
19,2,4,f,26,subcompact,volkswagen,1999
20,2.5,5,f,28,subcompact,volkswagen,2008
20,2.5,5,f,29,subcompact,volkswagen,2008
21,1.8,4,f,29,midsize,volkswagen,1999
18,1.8,4,f,29,midsize,volkswagen,1999
19,2,4,f,28,midsize,volkswagen,2008
21,2,4,f,29,midsize,volkswagen,2008
16,2.8,6,f,26,midsize,volkswagen,1999
18,2.8,6,f,26,midsize,volkswagen,1999
17,3.6,6,f,26,midsize,volkswagen,2008
